"airport_code","name","lon","lat"
"BNE","Brisbane",153.109707,-27.4034139999999
"MEL","Melbourne - Terminals 1 2 and 3",144.851131,-37.668765
"PER","Perth - Terminal 1",115.974126,-31.940801
"BME","Broome International",122.23393,-17.952596
"ADL","Adelaide",138.537544,-34.938622
"CNS","Cairns International",145.755674,-16.873014
"OOL","Gold Coast",153.512467,-28.166038
"DRW","Darwin International",130.877402,-12.408088
"SYD","Sydney (Kingsford Smith) - Terminal 1",151.165824,-33.9364879999999
"HBA","Hobart - Terminal 1",147.504721,-42.8366159999999
